Tweets,Label
RT @philstockworld: Summary of Yesterday's Webcast Featuring $AAPL $WYNN $GOOG $LGF #TraderEducation #Options #HedgingStrategies -- http://…,0
iTV Will Boost Apple http://t.co/8dup4cQc08 $AAPL #APPLE,0
"#iPhone users are more intelligent than #Samsung, #BlackBerry and HTC owners, $AAPL $BBRY, http://t.co/LGxRwuypyc",0
RT @philstockworld: Summary of Yesterday's Webcast Featuring $AAPL $WYNN $GOOG $LGF #TraderEducation #Options #HedgingStrategies -- http://…,0
2013 Wrap-Up And Trading Set Review - Part III http://t.co/7UbPGZRBGv $AAPL #APPLE $BP $CNW $CSCO $CSX $CVX $GOOG $HPQ $IBM $INTC $NGG,0
Apple Screwed Up Big Time http://t.co/Q2Pzk2VOMm $AMZN $AAPL,1
RT @philstockworld: Summary of Yesterday's Webcast Featuring $AAPL $WYNN $GOOG $LGF #TraderEducation #Options #HedgingStrategies -- http://…,0
$AAPL - Wall St. kicks off New Year on lower note -&gt; http://t.co/GUoph3R13c #stock #stocks #stockaction,1
RT @StockTwits: Here's how Apple could be making a huge push into healthcare --&gt; http://t.co/nd4QHzdEyX $AAPL,0
"RT @philstockworld: Our Top 3 Trade Ideas for 2014 and Two $1,000 Futures Wins Already in the Bank $GLD $USO $AAPL -- http://t.co/NlmUMm2iiH",0
"@DrPaulyDeSantis 

$AAPL having breathing difficulties",1
Emylers: Cheeky's Board!: $AAPL Up to date company activities and other impo http://t.co/6PLcfrTV55,0
$AAPL BlackBerry and singer Alicia Keys to part ways http://t.co/Iu5q7k4g1O,0
$AAPL - Chinas Xiaomi says to more than double smartphone sales in 2014 -&gt; http://t.co/3Cd2Qt5rhD #stock #stocks #stockaction,0
"RT @philstockworld: Our Top 3 Trade Ideas for 2014 and Two $1,000 Futures Wins Already in the Bank $GLD $USO $AAPL -- http://t.co/NlmUMm2iiH",0
"RT @philstockworld: Our Top 3 Trade Ideas for 2014 and Two $1,000 Futures Wins Already in the Bank $GLD $USO $AAPL -- http://t.co/NlmUMm2iiH",0
What are your top picks for Q1 2014? Here are mine: $AAPL $CREE $FB $CLDX $SNE,0
"RT @philstockworld: Our Top 3 Trade Ideas for 2014 and Two $1,000 Futures Wins Already in the Bank $GLD $USO $AAPL -- http://t.co/NlmUMm2iiH",0
$AAPL US STOCKS-Wall St kicks off New Year on lower note http://t.co/6fybNFG2Jj,1
RT @FortuneMagazine: Apple gained 8% in 2013 vs S&amp;P's 30% but don't cry for $AAPL investors. At least not the long term ones. http://t.co/X…,0
"RT @philstockworld: Our Top 3 Trade Ideas for 2014 and Two $1,000 Futures Wins Already in the Bank $GLD $USO $AAPL -- http://t.co/NlmUMm2iiH",0
